bitrix_id,name,old_image,cross_number,category,sub_category,id,slug,url
F8-33,Механизм замка двери кабины Transit 1986-1994 LH,/upload/iblock/df9/zqo1py1obujgkoyt2dlvusu9rjugyxqj.png,"92VB V21813 BE, 92VB V21813 AA, 6565486, BP1933L , FSE 11-321-002 , 92VB V21813 AAY

",Кузов,Механизмы замков,e61c1edd-e944-4853-ac6f-803d50a8c8bd,mekhanizm-zamka-dveri-kabiny-transit-1986-1994-lh,https://ford-parts.com.ru/catalog/F8-33/
F8-34,Механизм замка двери кабины Transit 1986-1994 RH,/upload/iblock/fcf/3glx383ab2u53zzpqcpocwflbo2nctlz/Снимок.PNG,"92VB V21812 BE, 92VB V21812 BA, 6565485, FSE 11-321-003",Кузов,Механизмы замков,4523f4e7-5221-46f6-9297-3785f1b41821,mekhanizm-zamka-dveri-kabiny-transit-1986-1994-rh,https://ford-parts.com.ru/catalog/F8-34/
F8-21,Механизм замка двери кабины Transit 1995-2000 LH ,/upload/iblock/f23/6l5jhx8atvnyc2ywadu4j1bpdujgm9jp.jpeg,"1663731, 95VB V219A65 AE / 95VB V219A65 CF,95VB-V219A65-CF,95VBV219A65CF ",Кузов,Механизмы замков,ceb24732-23cd-43c9-b33c-4be81227288e,mekhanizm-zamka-dveri-kabiny-transit-1995-2000-lh,https://ford-parts.com.ru/catalog/F8-21/
F8-22,Механизм замка двери кабины Transit 1995-2000 RH,/upload/iblock/f0e/9w1s02hi6ub3vped4y4unx3vyhgqvgyu.jpeg,"1663730, 95VB V219A64 BE, 4036334, T107178 , 550472	PRESSAN	2005641011093 , 95VB V219A64 CF
",Кузов,Механизмы замков,8507c594-5c60-401d-8016-294cc125ffcb,mekhanizm-zamka-dveri-kabiny-transit-1995-2000-rh,https://ford-parts.com.ru/catalog/F8-22/
F8-23,Механизм замка двери кабины Transit 2000-14 LH (без ЦЗ),/upload/iblock/531/3lfp0z0644fcq5ezbcx7ju35v3886lj7/Снимок.PNG,"1672075, YC15 V219A65 AU, BSG30975026, 4967768",Кузов,Механизмы замков,f7662cc8-7758-4d9f-b714-51ab8f5cfb09,mekhanizm-zamka-dveri-kabiny-transit-2000-14-lh-bez-tsz,https://ford-parts.com.ru/catalog/F8-23/
F8-25,Механизм замка двери кабины Transit 2000-14 RH (-ЦЗ),/upload/iblock/580/7r7ccj0be646o4j3oygfaigcm3vzq9ao/zl1rd78AC4jm.jpg,"1945261, 4992285, BSG 30-975-025, YC15 V219A64 AR, YC1A V21812 AR, 4983867, 1818766 , FSE 11-321-005
",Кузов,Механизмы замков,931e50bb-a2b5-4991-acae-b887542740c3,mekhanizm-zamka-dveri-kabiny-transit-2000-14-rh-tsz,https://ford-parts.com.ru/catalog/F8-25/
F8-26,Механизм замка двери кабины Transit 2000-2014 LH (+ЦЗ),/upload/iblock/155/47a8m6xnncpc20jkcsxqxt1oyof4e1ex/загружено.jpeg,"YC1A V21813 BV, YC15 V219A65 BV,1818768, 4967768, 4956458, 4896531, 4345447, 4185751, 4345445, 4174383, 4345444, 4119501, 4087156, 4084921, YC1AV21813BR, YC15V219A65BV, T172707, YC1A V21813 BR - FSE 11-321-016
",Кузов,Механизмы замков,9490d0b9-8243-4774-b566-f39ed13c8894,mekhanizm-zamka-dveri-kabiny-transit-2000-2014-lh-tsz,https://ford-parts.com.ru/catalog/F8-26/
F8-28,Механизм замка двери кабины Transit 2000-2014 RH (+ЦЗ),/upload/iblock/764/wv9ohc8az2nlnbdqn4bu31cotodys7p6/загружено.jpeg,"YC1A V21812 BR, 4967767, YC1A-V21812-BP, 4956457, YC15V219A64BV YC1A-V21812-BN, 4897583, YC1A-V21812-BM, 4345443, YC1A-V21812-BL - YC1A V21812 BVY	OGN / YC1A V21812 BPY
",Кузов,Механизмы замков,fed72786-b8dd-4c49-b33b-615dfc280a59,mekhanizm-zamka-dveri-kabiny-transit-2000-2014-rh-tsz,https://ford-parts.com.ru/catalog/F8-28/
F8-29,Механизм замка двери кабины Transit 2014- LH (7pin),/upload/iblock/619/th3r5o5eroiq5zc9zee2ex1g2xvubc7b/746735.webp,"BK31 V219A65 DM, 2424828 , BK31 V219A65 DMY , ATY 0105210085 , LK29 V219A65 DA , BK21-V219A65-DK , BK21V219A65DK , ATY 0105210085 , 2381791



",Кузов,Механизмы замков,37f2fe07-79e4-48eb-b11a-6286bd35f7c9,mekhanizm-zamka-dveri-kabiny-transit-2014-lh-7pin,https://ford-parts.com.ru/catalog/F8-29/
F8-30,Механизм замка двери кабины Transit 2014- LH (8pin),/upload/iblock/dfc/qepb309rc4g0dzsv4hqkqulq1thgsvj5.jpg,"BK31 V219A65 BM, 2424819, VEMO®V25-85-0104, FSE 11-321-059
",Кузов,Механизмы замков,fca46214-9ef1-4a42-b21a-bc18eeb7225e,mekhanizm-zamka-dveri-kabiny-transit-2014-lh-8pin,https://ford-parts.com.ru/catalog/F8-30/
F8-31,Механизм замка двери кабины Transit 2014- RH (5pin),/upload/iblock/2ff/75i5kikzxp8e0r4v5i3sa0rqfihiixkg/pol_pl_zamek-drzwi-Ford-Transit-2014-2019-PRAWY-R-2424809-BK31V219A64-24612_1.jpg,"BK31 V219A64 CK, 2424809 / ONP BK31 V219A64 CKY
",Кузов,Механизмы замков,a855824a-2de6-4f1f-9389-c647addc95f9,mekhanizm-zamka-dveri-kabiny-transit-2014-rh-5pin,https://ford-parts.com.ru/catalog/F8-31/
F8-32,Механизм замка двери кабины Transit 2014- RH (6pin),,"BK31 V219A64 AK, T265012",Кузов,Механизмы замков,08e13394-1cf9-46be-995d-d7827c82cb3a,mekhanizm-zamka-dveri-kabiny-transit-2014-rh-6pin,https://ford-parts.com.ru/catalog/F8-32/
F8-37,Механизм замка задней (высокая крыша) двери верхний L левый Transit 2000-2013 V184 / V347,/upload/iblock/8cb/rbxb3ro9v8bjij36n8rdr4llfv9mwrdk/lock-car-door-Rear-Door-Upper-Latch-Cable-Fit-for-FORD-TRANSIT-MK6-MK7-2000-2014.jpg,"1494098, YC15 V43287 AH",Кузов,Механизмы замков,12dc97ea-3ca4-47ec-9871-ffdc735735b1,mekhanizm-zamka-zadnei-vysokaia-krysha-dveri-verkhnii-l-levyi-transit-2000-2013-v184-v347,https://ford-parts.com.ru/catalog/F8-37/
