id,category_id,name,slug,image_url
8936540a-bed8-4578-a4e1-1e961ae0a868,f185196b-6239-4195-81a1-f59422272ba4,Дублер поворота в зеркале,dubler-povorota-v-zerkale,https://storage.yandexcloud.net/tcf-images/default.svg
e63d7773-dafb-4fba-8b20-23148b00569f,f185196b-6239-4195-81a1-f59422272ba4,Повторитель крыла,povtoritel-kryla,https://storage.yandexcloud.net/tcf-images/default.svg
40849a2a-ff2e-416e-906a-72ccea9524e9,9c0527f7-f92c-46a2-834d-e5890702ec8b,Подвесной подшипник полуоси,podvesnoi-podshipnik-poluosi,https://storage.yandexcloud.net/tcf-images/sub_categories/40849a2a-ff2e-416e-906a-72ccea9524e9.jpg
3f526bd2-5a3f-4e04-8e6d-d9974ef0acfb,d2ff4e0f-d89d-43e9-b8b2-fda6025837f5,Поддон ДВС,poddon-dvs,https://storage.yandexcloud.net/tcf-images/sub_categories/3f526bd2-5a3f-4e04-8e6d-d9974ef0acfb.png
6e52fb1e-9964-450d-a77a-c173c7530d2d,0cc8acea-07e7-4a39-8ba1-9ca3a5344efc,Подкрылки,podkrylki,https://storage.yandexcloud.net/tcf-images/default.svg
1f068f0e-31e7-4857-9367-73615bb6d33e,f185196b-6239-4195-81a1-f59422272ba4,Подсветка номера,podsvetka-nomera,https://storage.yandexcloud.net/tcf-images/default.svg
485edab4-c89a-40fb-b5c4-1bbb3f57a783,1329501b-80b9-4145-ac4e-5fb08426f07f,Подушка амортизатора,podushka-amortizatora,https://storage.yandexcloud.net/tcf-images/default.svg
f336bc59-4121-4059-8612-39136fbcb1d8,1329501b-80b9-4145-ac4e-5fb08426f07f,Подшипник амортизатора,podshipnik-amortizatora,https://storage.yandexcloud.net/tcf-images/default.svg
ac598de6-df3a-42ae-9922-7b81e8a85699,fc490adb-738f-4188-9833-5c4bb7d3a295,Подшипник компрессора кондиционера,podshipnik-kompressora-konditsionera,https://storage.yandexcloud.net/tcf-images/default.svg
6ce7f6f0-ea45-4152-a47d-fa0140ccb04b,039b8546-be94-4297-9cf2-f83215bbc0c5,Подшипники генератора,podshipniki-generatora,https://storage.yandexcloud.net/tcf-images/default.svg
370e0968-4748-4a2a-9f47-95580db1c627,c02ffc53-19de-4cea-b790-801ac2059e64,Подшипники КПП,podshipniki-kpp,https://storage.yandexcloud.net/tcf-images/default.svg
b4c0a88d-1bdc-4b87-a2dd-54e82bb7f206,9c0527f7-f92c-46a2-834d-e5890702ec8b,Подшипники редуктора,podshipniki-reduktora,https://storage.yandexcloud.net/tcf-images/sub_categories/b4c0a88d-1bdc-4b87-a2dd-54e82bb7f206.jpg
2d4d1194-8438-4e71-a313-19058cdcdf32,934a4913-1111-4b86-9d79-52dcf9196e2a,Подшипники рулевого управления,podshipniki-rulevogo-upravleniia,https://storage.yandexcloud.net/tcf-images/default.svg
cc11e40d-68f1-4349-8d3e-8b25940dfae8,1329501b-80b9-4145-ac4e-5fb08426f07f,Подшипники ступицы,podshipniki-stupitsy,https://storage.yandexcloud.net/tcf-images/default.svg
2a526f3a-feee-42ff-9c92-b5ecf7a1a19c,9c0527f7-f92c-46a2-834d-e5890702ec8b,Полуоси,poluosi,https://storage.yandexcloud.net/tcf-images/sub_categories/2a526f3a-feee-42ff-9c92-b5ecf7a1a19c.jpg
66c01fd9-3d8f-487b-b5c8-c609b8c597e3,934a4913-1111-4b86-9d79-52dcf9196e2a,Помпа г/у руля,pompa-g-u-rulia,https://storage.yandexcloud.net/tcf-images/default.svg
af79cd22-1923-4135-866f-075ec6daadd0,d2ff4e0f-d89d-43e9-b8b2-fda6025837f5,Поршень ДВС,porshen-dvs,https://storage.yandexcloud.net/tcf-images/sub_categories/af79cd22-1923-4135-866f-075ec6daadd0.png
2e181aa8-46dc-4a71-aded-0ce79414e04c,78d776a2-2cb1-4a28-b8da-667d8ab3eaa1,Предохранители,predokhraniteli,https://storage.yandexcloud.net/tcf-images/default.svg
4b73431c-c603-4957-982e-bb051b0c2f87,d2ff4e0f-d89d-43e9-b8b2-fda6025837f5,Прокладка Крышки двигателя,prokladka-kryshki-dvigatelia,https://storage.yandexcloud.net/tcf-images/default.svg
9a621cdf-7260-4eb9-bb19-f3c1d6b56b67,d2ff4e0f-d89d-43e9-b8b2-fda6025837f5,Прокладка под головку,prokladka-pod-golovku,https://storage.yandexcloud.net/tcf-images/sub_categories/9a621cdf-7260-4eb9-bb19-f3c1d6b56b67.png
39cfa765-1a4c-41cc-a3e5-01b0bf090b48,d2ff4e0f-d89d-43e9-b8b2-fda6025837f5,Прокладки впускного колектора,prokladki-vpusknogo-kolektora,https://storage.yandexcloud.net/tcf-images/sub_categories/39cfa765-1a4c-41cc-a3e5-01b0bf090b48.png
d7d1a720-28c9-4586-b852-890065d236f3,6489c75f-176d-4d0b-b523-4ea9362a3175,Прокладки выпускного тракта и турбин,prokladki-vypusknogo-trakta-i-turbin,https://storage.yandexcloud.net/tcf-images/default.svg
0be46ae6-5821-4a94-90e5-b85d5e8d68c1,d2ff4e0f-d89d-43e9-b8b2-fda6025837f5,Прокладки клапанной крышки,prokladki-klapannoi-kryshki,https://storage.yandexcloud.net/tcf-images/default.svg
beab5114-2e12-459e-9fbe-ba88f29a0f9e,d2ff4e0f-d89d-43e9-b8b2-fda6025837f5,Прокладки поддона,prokladki-poddona,https://storage.yandexcloud.net/tcf-images/default.svg
1564d0fd-423a-494c-9838-fd9837db7a15,d2ff4e0f-d89d-43e9-b8b2-fda6025837f5,Прокладки разные,prokladki-raznye,https://storage.yandexcloud.net/tcf-images/default.svg
6621a918-9881-43db-bec6-f175dba8d62d,f185196b-6239-4195-81a1-f59422272ba4,Противотуманные фары,protivotumannye-fary,https://storage.yandexcloud.net/tcf-images/default.svg
64477b68-b46d-4299-87c3-fc8f42e9ae12,1329501b-80b9-4145-ac4e-5fb08426f07f,Пружины,pruzhiny,https://storage.yandexcloud.net/tcf-images/default.svg
fcab37d9-ecef-447d-859c-68b4a5539659,934a4913-1111-4b86-9d79-52dcf9196e2a,Пыльники рулевой рейки,pylniki-rulevoi-reiki,https://storage.yandexcloud.net/tcf-images/default.svg
4527c997-e21b-42b9-82e7-56abb2785704,9c0527f7-f92c-46a2-834d-e5890702ec8b,Пыльники ШРУСов и приводов,pylniki-shrusov-i-privodov,https://storage.yandexcloud.net/tcf-images/default.svg
975b5d4d-a630-4d54-afc5-962dc8dbb577,f551a2ce-75fe-499a-a688-e73f44f6b32e,Рабочие тормозные цилиндры,rabochie-tormoznye-tsilindry,https://storage.yandexcloud.net/tcf-images/default.svg
111b8835-da00-4ea8-a34c-0a7988ebb28c,997833f0-2852-4096-b81f-fcf3f02679b8,Рабочий цилиндр сцепления,rabochii-tsilindr-stsepleniia,https://storage.yandexcloud.net/tcf-images/sub_categories/111b8835-da00-4ea8-a34c-0a7988ebb28c.png
aa42bb93-7276-4da4-ae6e-ab1f68b2eb7c,fc490adb-738f-4188-9833-5c4bb7d3a295,Радиатор кондиционера,radiator-konditsionera,https://storage.yandexcloud.net/tcf-images/default.svg
b70c1d25-7cf7-4c3f-89dd-9ff902e5a5fb,fc490adb-738f-4188-9833-5c4bb7d3a295,Радиаторы ДВС,radiatory-dvs,https://storage.yandexcloud.net/tcf-images/default.svg
77a5d221-d209-418d-ba82-ef9fe43c7f5b,c02ffc53-19de-4cea-b790-801ac2059e64,Радиаторы КПП,radiatory-kpp,https://storage.yandexcloud.net/tcf-images/default.svg
53a30583-0d2d-4259-8138-36c6ae17e1f8,fc490adb-738f-4188-9833-5c4bb7d3a295,Радиаторы отопителя,radiatory-otopitelia,https://storage.yandexcloud.net/tcf-images/default.svg
2e545f6b-9e63-4e4b-a09c-03ab042227ff,f185196b-6239-4195-81a1-f59422272ba4,Разъемы,razemy,https://storage.yandexcloud.net/tcf-images/default.svg
326f03f3-5e1f-4479-a13d-0dd35c912fc7,f185196b-6239-4195-81a1-f59422272ba4,Рамка / крепления противотуманной фары,ramka-krepleniia-protivotumannoi-fary,https://storage.yandexcloud.net/tcf-images/default.svg
c0bc41f0-c05d-43a6-9298-205788ca27d5,d2ff4e0f-d89d-43e9-b8b2-fda6025837f5,Распредвал,raspredval,https://storage.yandexcloud.net/tcf-images/default.svg
02a5ee5b-17b2-4d2c-88b2-fb9e928f25f1,884b5cd8-57d1-4b0b-9cdc-9a345b7e327b,Распылители,raspyliteli,https://storage.yandexcloud.net/tcf-images/default.svg
